country,iso2,iso3,iso_numeric,year,measure,unit,age_group,sex,risk_factor,best,lo,hi
Pakistan,PK,PAK,586,2024,inc,num,0-14,a,all,92000,42000,143000
Pakistan,PK,PAK,586,2024,inc,num,0-14,f,all,45000,11000,80000
Pakistan,PK,PAK,586,2024,inc,num,0-14,m,all,47000,10000,84000
Pakistan,PK,PAK,586,2024,inc,num,0-4,a,all,40000,3000,78000
Pakistan,PK,PAK,586,2024,inc,num,0-4,f,all,18000,0,48000
Pakistan,PK,PAK,586,2024,inc,num,0-4,m,all,22000,0,57000
Pakistan,PK,PAK,586,2024,inc,num,Oct-14,a,all,29000,2200,56000
Pakistan,PK,PAK,586,2024,inc,num,Oct-14,f,all,15000,0,39000
Pakistan,PK,PAK,586,2024,inc,num,Oct-14,m,all,14000,0,37000
Pakistan,PK,PAK,586,2024,inc,num,15-19,a,all,51000,3900,98000
Pakistan,PK,PAK,586,2024,inc,num,15-19,f,all,24000,0,63000
Pakistan,PK,PAK,586,2024,inc,num,15-19,m,all,27000,0,70000
Pakistan,PK,PAK,586,2024,inc,num,15-24,a,all,116000,40000,192000
Pakistan,PK,PAK,586,2024,inc,num,15-24,f,all,56000,3900,107000
Pakistan,PK,PAK,586,2024,inc,num,15-24,m,all,60000,4300,116000
Pakistan,PK,PAK,586,2024,inc,num,15plus,a,alc,5300,990,13000
Pakistan,PK,PAK,586,2024,inc,num,15plus,a,all,576000,370000,782000
Pakistan,PK,PAK,586,2024,inc,num,15plus,a,smk,40000,4800,113000
Pakistan,PK,PAK,586,2024,inc,num,15plus,f,all,264000,131000,396000
Pakistan,PK,PAK,586,2024,inc,num,15plus,m,all,313000,155000,470000
Pakistan,PK,PAK,586,2024,inc,num,18plus,a,dia,104000,61000,158000
Pakistan,PK,PAK,586,2024,inc,num,20-24,a,all,65000,5000,125000
Pakistan,PK,PAK,586,2024,inc,num,20-24,f,all,31000,0,82000
Pakistan,PK,PAK,586,2024,inc,num,20-24,m,all,33000,0,87000
Pakistan,PK,PAK,586,2024,inc,num,25-34,a,all,96000,7400,185000
Pakistan,PK,PAK,586,2024,inc,num,25-34,f,all,47000,0,123000
Pakistan,PK,PAK,586,2024,inc,num,25-34,m,all,49000,0,128000
Pakistan,PK,PAK,586,2024,inc,num,35-44,a,all,95000,6900,184000
Pakistan,PK,PAK,586,2024,inc,num,35-44,f,all,43000,0,112000
Pakistan,PK,PAK,586,2024,inc,num,35-44,m,all,52000,0,137000
Pakistan,PK,PAK,586,2024,inc,num,45-54,a,all,88000,6300,169000
Pakistan,PK,PAK,586,2024,inc,num,45-54,f,all,39000,0,102000
Pakistan,PK,PAK,586,2024,inc,num,45-54,m,all,49000,0,128000
Pakistan,PK,PAK,586,2024,inc,num,May-14,a,all,52000,18000,87000
Pakistan,PK,PAK,586,2024,inc,num,May-14,f,all,27000,1900,52000
Pakistan,PK,PAK,586,2024,inc,num,May-14,m,all,25000,1800,49000
Pakistan,PK,PAK,586,2024,inc,num,05-Sept,a,all,23000,1800,45000
Pakistan,PK,PAK,586,2024,inc,num,05-Sept,f,all,12000,0,31000
Pakistan,PK,PAK,586,2024,inc,num,05-Sept,m,all,11000,0,29000
Pakistan,PK,PAK,586,2024,inc,num,55-64,a,all,80000,5500,154000
Pakistan,PK,PAK,586,2024,inc,num,55-64,f,all,35000,0,90000
Pakistan,PK,PAK,586,2024,inc,num,55-64,m,all,45000,0,118000
Pakistan,PK,PAK,586,2024,inc,num,65plus,a,all,101000,7200,195000
Pakistan,PK,PAK,586,2024,inc,num,65plus,f,all,45000,0,116000
Pakistan,PK,PAK,586,2024,inc,num,65plus,m,all,57000,0,148000
Pakistan,PK,PAK,586,2024,inc,num,all,a,all,669000,456000,881000
Pakistan,PK,PAK,586,2024,inc,num,all,a,hiv,1700,0,9600
Pakistan,PK,PAK,586,2024,inc,num,all,a,und,62000,38000,93000
Pakistan,PK,PAK,586,2024,inc,num,all,f,all,309000,172000,446000
Pakistan,PK,PAK,586,2024,inc,num,all,m,all,360000,198000,522000
